Morrow	RBS:CPT_Morrow_148	[Removed: RBS not within boundary of gene or did not share a boundary with a gene]
Morrow	CDS:CPT_Morrow_023	[Removed: CDS not within boundary of gene or did not share a boundary with a gene]
Morrow	CPT_Morrow_001	Morrow_001
Morrow	CPT_Morrow_001	Morrow_001
Morrow	CPT_Morrow_001	Morrow_001
Morrow	CPT_Morrow_002	Morrow_002
Morrow	CPT_Morrow_002	Morrow_002
Morrow	CPT_Morrow_002	Morrow_002
Morrow	CPT_Morrow_003	Morrow_003
Morrow	CPT_Morrow_003	Morrow_003
Morrow	CPT_Morrow_003	Morrow_003
Morrow	CPT_Morrow_004	Morrow_004
Morrow	CPT_Morrow_004	Morrow_004
Morrow	CPT_Morrow_004	Morrow_004
Morrow	CPT_Morrow_005	Morrow_005
Morrow	CPT_Morrow_005	Morrow_005
Morrow	CPT_Morrow_005	Morrow_005
Morrow	CPT_Morrow_006	Morrow_006
Morrow	CPT_Morrow_006	Morrow_006
Morrow	CPT_Morrow_006	Morrow_006
Morrow	CPT_Morrow_007	Morrow_007
Morrow	CPT_Morrow_007	Morrow_007
Morrow	CPT_Morrow_007	Morrow_007
Morrow	CPT_Morrow_008	Morrow_008
Morrow	CPT_Morrow_008	Morrow_008
Morrow	CPT_Morrow_008	Morrow_008
Morrow	CPT_Morrow_009	Morrow_009
Morrow	CPT_Morrow_009	Morrow_009
Morrow	CPT_Morrow_009	Morrow_009
Morrow	CPT_Morrow_010	Morrow_010
Morrow	CPT_Morrow_010	Morrow_010
Morrow	CPT_Morrow_010	Morrow_010
Morrow	CPT_Morrow_011	Morrow_011
Morrow	CPT_Morrow_011	Morrow_011
Morrow	CPT_Morrow_011	Morrow_011
Morrow	CPT_Morrow_012	Morrow_012
Morrow	CPT_Morrow_012	Morrow_012
Morrow	CPT_Morrow_012	Morrow_012
Morrow	CPT_Morrow_013	Morrow_013
Morrow	CPT_Morrow_013	Morrow_013
Morrow	CPT_Morrow_013	Morrow_013
Morrow	CPT_Morrow_014	Morrow_014
Morrow	CPT_Morrow_014	Morrow_014
Morrow	CPT_Morrow_014	Morrow_014
Morrow	CPT_Morrow_015	Morrow_015
Morrow	CPT_Morrow_015	Morrow_015
Morrow	CPT_Morrow_015	Morrow_015
Morrow	CPT_Morrow_016	Morrow_016
Morrow	CPT_Morrow_016	Morrow_016
Morrow	CPT_Morrow_016	Morrow_016
Morrow	CPT_Morrow_017	Morrow_017
Morrow	CPT_Morrow_017	Morrow_017
Morrow	CPT_Morrow_017	Morrow_017
Morrow	CPT_Morrow_018	Morrow_018
Morrow	CPT_Morrow_018	Morrow_018
Morrow	CPT_Morrow_018	Morrow_018
Morrow	CPT_Morrow_019	Morrow_019
Morrow	CPT_Morrow_019	Morrow_019
Morrow	CPT_Morrow_019	Morrow_019
Morrow	CPT_Morrow_020	Morrow_020
Morrow	CPT_Morrow_020	Morrow_020
Morrow	CPT_Morrow_020	Morrow_020
Morrow	CPT_Morrow_021	Morrow_021
Morrow	CPT_Morrow_021	Morrow_021
Morrow	CPT_Morrow_021	Morrow_021
Morrow	CPT_Morrow_022	Morrow_022
Morrow	CPT_Morrow_022	Morrow_022
Morrow	CPT_Morrow_022	Morrow_022
Morrow	CPT_Morrow_023	Morrow_023
Morrow	CPT_Morrow_023	Morrow_023
Morrow	CPT_Morrow_025	Morrow_024
Morrow	CPT_Morrow_025	Morrow_024
Morrow	CPT_Morrow_025	Morrow_024
Morrow	CPT_Morrow_026	Morrow_025
Morrow	CPT_Morrow_026	Morrow_025
Morrow	CPT_Morrow_026	Morrow_025
Morrow	CPT_Morrow_027	Morrow_026
Morrow	CPT_Morrow_027	Morrow_026
Morrow	CPT_Morrow_027	Morrow_026
Morrow	CPT_Morrow_028	Morrow_027
Morrow	CPT_Morrow_028	Morrow_027
Morrow	CPT_Morrow_028	Morrow_027
Morrow	CPT_Morrow_029	Morrow_028
Morrow	CPT_Morrow_029	Morrow_028
Morrow	CPT_Morrow_029	Morrow_028
Morrow	CPT_Morrow_030	Morrow_029
Morrow	CPT_Morrow_030	Morrow_029
Morrow	CPT_Morrow_030	Morrow_029
Morrow	CPT_Morrow_031	Morrow_030
Morrow	CPT_Morrow_031	Morrow_030
Morrow	CPT_Morrow_031	Morrow_030
Morrow	CPT_Morrow_032	Morrow_031
Morrow	CPT_Morrow_032	Morrow_031
Morrow	CPT_Morrow_032	Morrow_031
Morrow	CPT_Morrow_033	Morrow_032
Morrow	CPT_Morrow_033	Morrow_032
Morrow	CPT_Morrow_033	Morrow_032
Morrow	CPT_Morrow_034	Morrow_033
Morrow	CPT_Morrow_034	Morrow_033
Morrow	CPT_Morrow_034	Morrow_033
Morrow	CPT_Morrow_035	Morrow_034
Morrow	CPT_Morrow_035	Morrow_034
Morrow	CPT_Morrow_035	Morrow_034
Morrow	CPT_Morrow_036	Morrow_035
Morrow	CPT_Morrow_036	Morrow_035
Morrow	CPT_Morrow_036	Morrow_035
